,Outlook,Temperature,Humidity,Windy,Play-Golf
163,Overcast,Hot,Normal,False,Yes
164,Overcast,Cool,Normal,True,Yes
165,Overcast,Hot,High,False,Yes
166,Sunny,Mild,Normal,False,Yes
167,Rainy,Cool,Normal,False,Yes
168,Sunny,Mild,High,True,No
169,Overcast,Hot,Normal,False,Yes
170,Rainy,Mild,Normal,True,Yes
171,Overcast,Hot,High,False,Yes
172,Sunny,Cool,Normal,True,No
173,Sunny,Mild,High,True,No
174,Rainy,Hot,High,True,No
175,Sunny,Mild,High,True,No
176,Rainy,Hot,High,True,No
177,Sunny,Mild,High,True,No
178,Rainy,Hot,High,True,No
179,Overcast,Hot,High,False,Yes
180,Sunny,Cool,Normal,False,Yes
181,Overcast,Hot,Normal,False,Yes
182,Sunny,Mild,Normal,False,Yes
183,Rainy,Hot,High,True,No
184,Sunny,Mild,High,True,No
185,Sunny,Mild,High,False,Yes
186,Sunny,Cool,Normal,False,Yes
187,Rainy,Hot,High,True,No
188,Overcast,Hot,Normal,False,Yes
189,Rainy,Hot,High,True,No
190,Sunny,Mild,Normal,False,Yes
191,Sunny,Mild,High,False,Yes
192,Sunny,Cool,Normal,False,Yes
193,Overcast,Hot,High,False,Yes
194,Overcast,Mild,High,True,Yes
195,Sunny,Mild,High,True,No
196,Rainy,Hot,High,True,No
197,Sunny,Mild,High,True,No
198,Rainy,Mild,Normal,True,Yes
199,Rainy,Hot,High,True,No
200,Rainy,Hot,High,True,No
201,Rainy,Hot,High,False,Yes
202,Sunny,Mild,High,True,No
203,Overcast,Hot,Normal,False,Yes
204,Overcast,Hot,High,False,Yes
205,Rainy,Hot,High,False,Yes
206,Sunny,Mild,High,True,No
207,Sunny,Mild,High,True,No
208,Rainy,Mild,Normal,True,Yes
209,Rainy,Hot,High,True,No
210,Overcast,Cool,Normal,True,Yes
211,Rainy,Hot,High,True,No
212,Overcast,Mild,High,True,Yes
213,Sunny,Mild,High,True,No
214,Overcast,Cool,Normal,True,Yes
215,Rainy,Hot,High,True,No
216,Overcast,Hot,Normal,False,Yes
217,Rainy,Hot,High,True,No
218,Sunny,Cool,Normal,True,No
219,Rainy,Mild,Normal,True,Yes
220,Overcast,Mild,High,True,Yes
221,Sunny,Cool,Normal,False,Yes
222,Overcast,Hot,High,False,Yes
223,Rainy,Hot,High,True,No
224,Rainy,Mild,Normal,True,Yes
225,Sunny,Mild,High,False,Yes
226,Sunny,Cool,Normal,False,Yes
227,Sunny,Mild,High,True,No
228,Rainy,Hot,High,True,No
229,Sunny,Cool,Normal,False,Yes
230,Rainy,Mild,Normal,True,Yes
231,Sunny,Cool,Normal,False,Yes
232,Sunny,Cool,Normal,False,Yes
233,Overcast,Hot,High,False,Yes
234,Rainy,Hot,High,True,No
235,Rainy,Hot,High,True,No
236,Rainy,Hot,High,True,No
237,Sunny,Mild,High,True,No
238,Sunny,Cool,Normal,True,No
239,Rainy,Mild,Normal,True,Yes
240,Overcast,Cool,Normal,True,Yes
241,Sunny,Cool,Normal,False,Yes
242,Sunny,Mild,Normal,False,Yes
243,Sunny,Cool,Normal,False,Yes
244,Rainy,Hot,High,False,Yes
245,Rainy,Hot,High,True,No
246,Sunny,Mild,High,True,No
247,Rainy,Hot,High,True,No
248,Overcast,Hot,Normal,False,Yes
249,Rainy,Hot,High,True,No
250,Sunny,Mild,High,True,No
251,Overcast,Hot,High,False,Yes
252,Overcast,Cool,Normal,True,Yes
253,Rainy,Cool,Normal,False,Yes
254,Sunny,Mild,High,True,No
255,Sunny,Cool,Normal,False,Yes
256,Sunny,Mild,High,True,No
257,Rainy,Mild,Normal,True,Yes
258,Overcast,Mild,High,True,Yes
259,Rainy,Hot,High,True,No
260,Overcast,Hot,High,False,Yes
261,Sunny,Mild,Normal,False,Yes
262,Rainy,Mild,Normal,True,Yes
263,Sunny,Cool,Normal,False,Yes
264,Sunny,Cool,Normal,False,Yes
265,Rainy,Hot,High,True,No
266,Rainy,Hot,High,True,No
267,Overcast,Cool,Normal,True,Yes
268,Sunny,Mild,High,False,Yes
269,Sunny,Mild,High,True,No
270,Sunny,Cool,Normal,False,Yes
271,Sunny,Cool,Normal,False,Yes
272,Overcast,Mild,High,True,Yes
273,Rainy,Mild,High,False,No
274,Sunny,Mild,High,True,No
275,Overcast,Hot,High,False,Yes
276,Overcast,Hot,High,False,Yes
277,Sunny,Mild,Normal,False,Yes
278,Rainy,Hot,High,True,No
279,Overcast,Hot,High,False,Yes
280,Overcast,Hot,Normal,False,Yes
281,Rainy,Hot,High,True,No
282,Overcast,Hot,Normal,False,Yes
283,Sunny,Cool,Normal,False,Yes
284,Overcast,Hot,Normal,False,Yes
285,Sunny,Mild,High,False,Yes
286,Sunny,Mild,High,False,Yes
287,Overcast,Hot,High,False,Yes
288,Sunny,Mild,Normal,False,Yes
289,Rainy,Hot,High,False,Yes
290,Rainy,Hot,High,True,No
291,Overcast,Cool,Normal,True,Yes
292,Sunny,Cool,Normal,False,Yes
293,Overcast,Cool,Normal,True,Yes
294,Overcast,Hot,High,False,Yes
295,Sunny,Cool,Normal,False,Yes
296,Sunny,Cool,Normal,False,Yes
297,Overcast,Hot,High,False,Yes
298,Rainy,Hot,High,True,No
299,Sunny,Mild,High,True,No
300,Sunny,Cool,Normal,False,Yes
301,Sunny,Mild,Normal,False,Yes
302,Sunny,Mild,High,True,No
303,Rainy,Hot,High,True,No
304,Sunny,Cool,Normal,False,Yes
305,Overcast,Hot,Normal,False,Yes
306,Sunny,Cool,Normal,True,No
307,Sunny,Mild,High,True,No
308,Sunny,Cool,Normal,False,Yes
309,Rainy,Cool,Normal,False,Yes
310,Sunny,Mild,High,True,No
311,Sunny,Cool,Normal,False,Yes
312,Overcast,Hot,Normal,False,Yes
313,Overcast,Hot,High,False,Yes
314,Sunny,Mild,High,True,No
315,Rainy,Mild,Normal,True,Yes
316,Sunny,Cool,Normal,False,Yes
317,Overcast,Hot,High,False,Yes
318,Rainy,Mild,Normal,True,Yes
319,Overcast,Cool,Normal,True,Yes
320,Overcast,Hot,High,False,Yes
321,Overcast,Hot,High,False,Yes
322,Sunny,Mild,Normal,False,Yes
323,Sunny,Mild,High,True,No
324,Sunny,Mild,High,True,No
325,Overcast,Hot,High,False,Yes
326,Sunny,Mild,High,False,Yes
327,Sunny,Cool,Normal,True,No
328,Sunny,Cool,Normal,False,Yes
329,Sunny,Mild,High,True,No
330,Sunny,Mild,High,True,No
331,Sunny,Cool,Normal,True,No
332,Rainy,Hot,High,True,No
333,Sunny,Mild,High,True,No
334,Sunny,Mild,High,False,Yes
335,Overcast,Cool,Normal,True,Yes
336,Sunny,Mild,High,True,No
337,Sunny,Mild,High,True,No
338,Rainy,Hot,High,True,No
339,Overcast,Cool,Normal,True,Yes
340,Rainy,Hot,High,True,No
341,Sunny,Cool,Normal,False,Yes
342,Sunny,Mild,High,True,No
343,Rainy,Hot,High,True,No
344,Sunny,Mild,High,True,No
345,Sunny,Cool,Normal,True,No
346,Sunny,Mild,Normal,False,Yes
347,Overcast,Hot,Normal,False,Yes
348,Rainy,Hot,High,True,No
349,Rainy,Mild,Normal,True,Yes
350,Sunny,Cool,Normal,False,Yes
351,Sunny,Mild,High,True,No
352,Sunny,Mild,High,True,No
353,Rainy,Mild,Normal,True,Yes
354,Rainy,Hot,High,True,No
355,Overcast,Hot,Normal,False,Yes
356,Sunny,Mild,High,True,No
357,Sunny,Mild,High,True,No
358,Rainy,Hot,High,True,No
359,Overcast,Mild,High,True,Yes
360,Sunny,Mild,High,False,Yes
361,Rainy,Mild,Normal,True,Yes
362,Overcast,Cool,Normal,True,Yes
363,Sunny,Mild,High,False,Yes
364,Sunny,Mild,High,True,No
365,Overcast,Hot,High,False,Yes
366,Rainy,Mild,High,False,No
367,Overcast,Cool,Normal,True,Yes
368,Rainy,Hot,High,True,No
369,Sunny,Mild,Normal,False,Yes
370,Rainy,Hot,High,True,No
371,Rainy,Hot,High,False,Yes
372,Overcast,Hot,High,False,Yes
373,Sunny,Mild,High,True,No
374,Overcast,Hot,High,False,Yes
375,Sunny,Mild,High,True,No
376,Rainy,Hot,High,True,No
377,Rainy,Mild,Normal,True,Yes
378,Rainy,Hot,High,False,Yes
379,Sunny,Cool,Normal,False,Yes
380,Overcast,Cool,Normal,True,Yes
381,Sunny,Mild,High,True,No
382,Rainy,Hot,High,True,No
383,Rainy,Mild,Normal,True,Yes
384,Sunny,Cool,Normal,True,No
385,Rainy,Hot,High,True,No
386,Overcast,Cool,Normal,True,Yes
387,Rainy,Hot,High,True,No
388,Sunny,Mild,High,True,No
389,Rainy,Hot,High,True,No
390,Sunny,Mild,Normal,False,Yes
391,Overcast,Cool,Normal,True,Yes
392,Sunny,Cool,Normal,False,Yes
393,Rainy,Mild,Normal,True,Yes
394,Sunny,Mild,High,False,Yes
395,Sunny,Mild,High,True,No
396,Overcast,Cool,Normal,True,Yes
397,Overcast,Hot,High,False,Yes
398,Overcast,Hot,High,False,Yes
399,Sunny,Cool,Normal,False,Yes
400,Sunny,Cool,Normal,False,Yes
401,Sunny,Mild,Normal,False,Yes
402,Rainy,Cool,Normal,False,Yes
403,Rainy,Hot,High,True,No
404,Sunny,Mild,High,True,No
405,Overcast,Hot,Normal,False,Yes
406,Overcast,Hot,High,False,Yes
407,Sunny,Mild,High,True,No
408,Sunny,Mild,High,True,No
409,Overcast,Cool,Normal,True,Yes
410,Overcast,Hot,Normal,False,Yes
411,Sunny,Cool,Normal,False,Yes
412,Sunny,Mild,High,True,No
413,Rainy,Hot,High,True,No
414,Sunny,Mild,High,True,No
415,Overcast,Hot,High,False,Yes
416,Overcast,Hot,Normal,False,Yes
417,Rainy,Cool,Normal,False,Yes
418,Overcast,Hot,High,False,Yes
419,Sunny,Mild,High,False,Yes
420,Rainy,Hot,High,False,Yes
421,Overcast,Hot,High,False,Yes
422,Sunny,Mild,High,True,No
423,Overcast,Cool,Normal,True,Yes
424,Sunny,Mild,High,True,No
425,Overcast,Hot,High,False,Yes
426,Overcast,Hot,High,False,Yes
427,Sunny,Mild,High,True,No
428,Overcast,Hot,Normal,False,Yes
429,Rainy,Hot,High,True,No
430,Sunny,Mild,High,True,No
431,Overcast,Hot,High,False,Yes
432,Sunny,Cool,Normal,False,Yes
433,Rainy,Mild,Normal,True,Yes
434,Overcast,Hot,High,False,Yes
435,Overcast,Hot,High,False,Yes
436,Sunny,Cool,Normal,False,Yes
437,Sunny,Cool,Normal,False,Yes
438,Sunny,Cool,Normal,False,Yes
439,Overcast,Hot,Normal,False,Yes
440,Rainy,Hot,High,True,No
441,Rainy,Hot,High,True,No
442,Sunny,Cool,Normal,False,Yes
443,Sunny,Cool,Normal,False,Yes
444,Overcast,Cool,Normal,True,Yes
445,Overcast,Hot,Normal,False,Yes
446,Sunny,Cool,Normal,False,Yes
447,Sunny,Cool,Normal,False,Yes
448,Rainy,Mild,Normal,True,Yes
449,Overcast,Cool,Normal,True,Yes
450,Overcast,Hot,Normal,False,Yes
451,Sunny,Mild,Normal,False,Yes
452,Rainy,Cool,Normal,False,Yes
453,Sunny,Mild,High,False,Yes
454,Rainy,Hot,High,True,No
455,Sunny,Mild,High,True,No
456,Sunny,Mild,High,True,No
457,Overcast,Cool,Normal,True,Yes
458,Sunny,Cool,Normal,False,Yes
459,Rainy,Hot,High,True,No
460,Overcast,Cool,Normal,True,Yes
461,Rainy,Hot,High,True,No
462,Rainy,Cool,Normal,False,Yes
463,Rainy,Hot,High,False,Yes
464,Sunny,Cool,Normal,False,Yes
465,Overcast,Hot,Normal,False,Yes
466,Rainy,Hot,High,True,No
467,Sunny,Cool,Normal,False,Yes
468,Sunny,Cool,Normal,False,Yes
469,Sunny,Cool,Normal,False,Yes
470,Sunny,Cool,Normal,False,Yes
471,Overcast,Hot,High,False,Yes
472,Rainy,Hot,High,True,No
473,Overcast,Hot,High,False,Yes
474,Sunny,Mild,High,True,No
475,Sunny,Mild,High,True,No
476,Overcast,Hot,High,False,Yes
477,Rainy,Hot,High,True,No
478,Overcast,Hot,Normal,False,Yes
479,Overcast,Hot,High,False,Yes
480,Rainy,Hot,High,True,No
481,Sunny,Cool,Normal,False,Yes
482,Overcast,Hot,Normal,False,Yes
483,Sunny,Cool,Normal,False,Yes
484,Overcast,Hot,High,False,Yes
485,Sunny,Cool,Normal,False,Yes
486,Sunny,Cool,Normal,False,Yes
487,Sunny,Mild,High,True,No
488,Sunny,Cool,Normal,True,No
489,Rainy,Hot,High,True,No
490,Sunny,Cool,Normal,False,Yes
491,Overcast,Hot,Normal,False,Yes
492,Rainy,Hot,High,True,No
493,Sunny,Cool,Normal,False,Yes
494,Rainy,Mild,Normal,True,Yes
495,Sunny,Cool,Normal,False,Yes
496,Sunny,Mild,Normal,False,Yes
497,Sunny,Cool,Normal,False,Yes
498,Sunny,Mild,High,True,No
499,Overcast,Hot,Normal,False,Yes
500,Sunny,Mild,High,True,No
501,Sunny,Mild,High,False,Yes
502,Overcast,Hot,High,False,Yes
503,Sunny,Cool,Normal,False,Yes
504,Overcast,Hot,Normal,False,Yes
505,Sunny,Cool,Normal,False,Yes
506,Sunny,Mild,High,True,No
507,Overcast,Cool,Normal,True,Yes
508,Rainy,Mild,Normal,True,Yes
509,Sunny,Mild,High,True,No
510,Sunny,Mild,High,True,No
511,Overcast,Mild,High,True,Yes
512,Overcast,Cool,Normal,True,Yes
513,Overcast,Cool,Normal,True,Yes
514,Rainy,Hot,High,True,No
515,Sunny,Mild,High,True,No
516,Overcast,Cool,Normal,True,Yes
517,Overcast,Hot,Normal,False,Yes
518,Rainy,Mild,Normal,True,Yes
519,Rainy,Cool,Normal,False,Yes
520,Sunny,Mild,High,True,No
521,Rainy,Hot,High,True,No
522,Sunny,Cool,Normal,False,Yes
523,Overcast,Hot,High,False,Yes
524,Overcast,Cool,Normal,True,Yes
525,Rainy,Hot,High,False,Yes
526,Sunny,Cool,Normal,False,Yes
527,Sunny,Cool,Normal,False,Yes
528,Overcast,Hot,High,False,Yes
529,Overcast,Mild,High,True,Yes
530,Sunny,Mild,High,True,No
531,Rainy,Hot,High,False,Yes
532,Rainy,Hot,High,True,No
533,Rainy,Hot,High,True,No
534,Sunny,Cool,Normal,False,Yes
535,Overcast,Hot,Normal,False,Yes
536,Overcast,Hot,Normal,False,Yes
537,Sunny,Cool,Normal,True,No
538,Rainy,Mild,Normal,True,Yes
539,Sunny,Cool,Normal,True,No
540,Sunny,Cool,Normal,False,Yes
541,Rainy,Hot,High,True,No
542,Sunny,Cool,Normal,True,No
543,Overcast,Mild,High,True,Yes
544,Overcast,Hot,High,False,Yes
545,Rainy,Hot,High,True,No
546,Overcast,Mild,High,True,Yes
547,Sunny,Mild,High,True,No
548,Sunny,Cool,Normal,False,Yes
549,Sunny,Cool,Normal,False,Yes
550,Rainy,Mild,High,False,No
551,Rainy,Mild,Normal,True,Yes
552,Sunny,Cool,Normal,False,Yes
553,Sunny,Mild,High,True,No
554,Overcast,Hot,High,False,Yes
555,Rainy,Mild,Normal,True,Yes
556,Rainy,Hot,High,False,Yes
557,Sunny,Mild,High,True,No
558,Overcast,Cool,Normal,True,Yes
559,Rainy,Mild,Normal,True,Yes
560,Sunny,Cool,Normal,False,Yes
561,Overcast,Cool,Normal,True,Yes
562,Sunny,Mild,High,True,No
563,Overcast,Mild,High,True,Yes
564,Overcast,Hot,High,False,Yes
565,Sunny,Cool,Normal,True,No
566,Overcast,Mild,High,True,Yes
567,Sunny,Cool,Normal,False,Yes
568,Rainy,Hot,High,True,No
569,Sunny,Cool,Normal,False,Yes
570,Sunny,Mild,Normal,False,Yes
571,Rainy,Hot,High,True,No
572,Overcast,Cool,Normal,True,Yes
573,Rainy,Mild,High,False,No
574,Rainy,Hot,High,True,No
575,Sunny,Cool,Normal,False,Yes
576,Sunny,Cool,Normal,True,No
577,Sunny,Mild,Normal,False,Yes
578,Overcast,Cool,Normal,True,Yes
579,Sunny,Mild,High,True,No
580,Sunny,Cool,Normal,False,Yes
581,Rainy,Hot,High,True,No
582,Sunny,Mild,High,False,Yes
583,Sunny,Cool,Normal,False,Yes
584,Sunny,Mild,High,True,No
585,Overcast,Cool,Normal,True,Yes
586,Rainy,Hot,High,True,No
587,Rainy,Hot,High,True,No
588,Rainy,Hot,High,True,No
589,Rainy,Hot,High,True,No
590,Sunny,Mild,High,True,No
591,Rainy,Hot,High,True,No
592,Overcast,Hot,High,False,Yes
593,Rainy,Cool,Normal,False,Yes
594,Sunny,Mild,High,True,No
595,Rainy,Hot,High,True,No
596,Overcast,Hot,Normal,False,Yes
597,Sunny,Cool,Normal,False,Yes
598,Sunny,Cool,Normal,True,No
599,Sunny,Mild,High,False,Yes
600,Sunny,Cool,Normal,False,Yes
601,Overcast,Hot,Normal,False,Yes
602,Overcast,Cool,Normal,True,Yes
603,Rainy,Mild,Normal,True,Yes
604,Overcast,Hot,High,False,Yes
605,Rainy,Hot,High,True,No
606,Rainy,Hot,High,True,No
607,Overcast,Cool,Normal,True,Yes
608,Rainy,Mild,Normal,True,Yes
609,Overcast,Hot,Normal,False,Yes
610,Rainy,Hot,High,True,No
611,Sunny,Mild,High,True,No
612,Overcast,Hot,High,False,Yes
613,Rainy,Cool,Normal,False,Yes
614,Overcast,Hot,High,False,Yes
615,Rainy,Hot,High,True,No
616,Sunny,Cool,Normal,False,Yes
617,Sunny,Cool,Normal,False,Yes
618,Sunny,Cool,Normal,False,Yes
619,Sunny,Cool,Normal,False,Yes
620,Sunny,Cool,Normal,False,Yes
621,Sunny,Mild,Normal,False,Yes
622,Rainy,Hot,High,False,Yes
623,Rainy,Mild,Normal,True,Yes
624,Sunny,Mild,High,False,Yes
625,Overcast,Hot,High,False,Yes
626,Rainy,Hot,High,True,No
627,Overcast,Hot,High,False,Yes
628,Rainy,Mild,High,False,No
629,Overcast,Cool,Normal,True,Yes
630,Overcast,Hot,Normal,False,Yes
631,Sunny,Mild,High,True,No
632,Sunny,Mild,High,True,No
633,Sunny,Mild,High,False,Yes
634,Sunny,Cool,Normal,False,Yes
635,Sunny,Cool,Normal,False,Yes
636,Rainy,Hot,High,False,Yes
637,Rainy,Hot,High,True,No
638,Sunny,Mild,High,True,No
639,Sunny,Mild,High,False,Yes
640,Overcast,Hot,Normal,False,Yes
641,Overcast,Cool,Normal,True,Yes
642,Sunny,Mild,High,True,No
643,Sunny,Cool,Normal,False,Yes
644,Sunny,Mild,High,True,No
645,Rainy,Mild,Normal,True,Yes
646,Overcast,Cool,Normal,True,Yes
647,Sunny,Cool,Normal,False,Yes
648,Rainy,Mild,Normal,True,Yes
649,Overcast,Hot,Normal,False,Yes
650,Overcast,Hot,High,False,Yes
651,Rainy,Hot,High,True,No
652,Sunny,Mild,Normal,False,Yes
653,Sunny,Cool,Normal,True,No
654,Rainy,Cool,Normal,False,Yes
655,Rainy,Hot,High,False,Yes
656,Rainy,Mild,Normal,True,Yes
657,Sunny,Cool,Normal,False,Yes
658,Sunny,Mild,High,True,No
659,Rainy,Hot,High,True,No
660,Sunny,Mild,High,True,No
661,Rainy,Mild,Normal,True,Yes
662,Sunny,Cool,Normal,False,Yes
663,Overcast,Hot,High,False,Yes
664,Sunny,Mild,High,True,No
665,Sunny,Cool,Normal,False,Yes
666,Sunny,Cool,Normal,False,Yes
667,Sunny,Mild,High,True,No
668,Sunny,Mild,High,True,No
669,Overcast,Hot,High,False,Yes
670,Sunny,Cool,Normal,False,Yes
671,Rainy,Mild,High,False,No
672,Sunny,Mild,High,True,No
673,Overcast,Hot,High,False,Yes
674,Overcast,Cool,Normal,True,Yes
675,Sunny,Mild,High,True,No
676,Sunny,Cool,Normal,False,Yes
677,Sunny,Mild,High,True,No
678,Overcast,Hot,High,False,Yes
679,Sunny,Cool,Normal,False,Yes
680,Rainy,Hot,High,True,No
681,Sunny,Cool,Normal,False,Yes
682,Sunny,Cool,Normal,False,Yes
683,Sunny,Mild,High,True,No
684,Overcast,Hot,High,False,Yes
685,Sunny,Mild,High,True,No
686,Rainy,Hot,High,True,No
687,Overcast,Hot,Normal,False,Yes
688,Rainy,Mild,High,False,No
689,Rainy,Hot,High,True,No
690,Sunny,Mild,High,True,No
691,Sunny,Cool,Normal,False,Yes
692,Rainy,Hot,High,True,No
693,Sunny,Mild,High,False,Yes
694,Overcast,Hot,High,False,Yes
695,Overcast,Cool,Normal,True,Yes
696,Rainy,Mild,Normal,True,Yes
697,Sunny,Mild,High,True,No
698,Sunny,Cool,Normal,False,Yes
699,Sunny,Mild,High,True,No
700,Overcast,Hot,Normal,False,Yes
701,Rainy,Mild,Normal,True,Yes
702,Sunny,Cool,Normal,True,No
703,Sunny,Mild,High,False,Yes
704,Rainy,Hot,High,True,No
705,Sunny,Mild,High,True,No
706,Sunny,Mild,High,True,No
707,Sunny,Mild,High,True,No
708,Rainy,Hot,High,True,No
709,Sunny,Mild,High,True,No
710,Sunny,Cool,Normal,False,Yes
711,Sunny,Cool,Normal,False,Yes
712,Sunny,Cool,Normal,False,Yes
713,Sunny,Cool,Normal,False,Yes
714,Sunny,Cool,Normal,True,No
715,Rainy,Mild,Normal,True,Yes
716,Overcast,Hot,High,False,Yes
717,Sunny,Cool,Normal,False,Yes
718,Overcast,Hot,High,False,Yes
719,Sunny,Mild,High,True,No
720,Sunny,Mild,High,True,No
721,Sunny,Cool,Normal,False,Yes
722,Rainy,Hot,High,True,No
723,Overcast,Mild,High,True,Yes
724,Overcast,Hot,High,False,Yes
725,Sunny,Mild,High,True,No
726,Sunny,Mild,High,True,No
